UID,REC
2910,"({72: 6.39466231720762}, [72, 89, 27, 62, 36, 35, 14, 88, 29])"
2911,"({62: 5.940509540725607}, [62, 47, 91, 89, 53, 65, 63, 88, 97])"
2912,"({93: 4.433454941166774}, [93, 21, 62, 31, 28, 76, 45, 92, 81])"
2913,"({29: 8.085564803962836}, [29, 35, 53, 65, 69, 87, 27, 81, 98])"
2914,"({98: 4.376002058758214}, [98, 49, 76, 85, 72, 96, 97, 89, 100])"
2915,"({89: 4.9401506894700935}, [89, 76, 91, 36, 92, 88, 93, 61, 96])"
2916,"({50: 3.489255831177133}, [50, 21, 66, 72, 100, 76, 89, 80, 87])"
2917,"({89: 1.920142836859862}, [89, 76, 93, 80, 91, 83, 73, 78, 87])"
2918,"({98: 6.641427557159171}, [98, 29, 50, 87, 26, 69, 47, 20, 51])"
2919,"({47: 5.6245652696054345}, [47, 12, 89, 72, 76, 93, 35, 54, 91])"
2920,"({62: 3.6218365133274437}, [62, 89, 69, 66, 54, 53, 48, 28, 93])"
2921,"({89: 3.7484133412825855}, [89, 54, 82, 76, 93, 86, 72, 46, 94])"
2922,"({12: 8.884502006576051}, [12, 36, 53, 26, 89, 50, 100, 83, 93])"
2923,"({72: 1.9821762540189114}, [72, 76, 81, 80, 27, 49, 85, 14, 56])"
2924,"({62: 7.694019768486628}, [62, 19, 97, 53, 54, 93, 84, 94, 86])"
2925,"({76: 1.3170395415111882}, [76, 89, 62, 1, 93, 87, 72, 97, 83])"
2926,"({5: 5.730234173370182}, [5, 80, 100, 78, 65, 50, 98, 35, 51])"
2927,"({67: 4.637982275303157}, [67, 24, 55, 22, 95, 41, 29, 81, 37])"
2928,"({29: 6.127501579782665}, [29, 50, 35, 32, 26, 81, 69, 14, 27])"
2929,"({81: 3.1365634471424597}, [81, 83, 14, 50, 2, 76, 72, 98, 91])"
2930,"({72: 6.985338392403197}, [72, 78, 98, 35, 70, 32, 77, 73, 66])"
2931,"({89: 6.8770539652099725}, [89, 97, 28, 66, 1, 78, 18, 63, 99])"
2932,"({32: 3.2929309761830465}, [32, 53, 76, 42, 62, 83, 72, 87, 21])"
2933,"({68: 4.28064697738301}, [68, 78, 32, 89, 54, 29, 14, 96, 100])"
2934,"({89: 2.140839972388794}, [89, 91, 94, 88, 38, 72, 86, 97, 92])"
2935,"({89: 7.4877962549182}, [89, 86, 38, 77, 3, 70, 33, 74, 15])"
2936,"({87: 2.3359624234757472}, [87, 89, 81, 72, 83, 35, 29, 76, 6])"
2937,"({12: 3.8870865615769548}, [12, 50, 32, 46, 48, 92, 95, 84, 22])"
2938,"({88: 2.4231534886695587}, [88, 12, 46, 38, 4, 60, 73, 96, 89])"
2939,"({76: 0.8345652895665738}, [76, 89, 50, 72, 87, 93, 53, 80, 35])"
2940,"({89: 5.257455360638947}, [89, 93, 96, 82, 94, 92, 88, 90, 72])"
2941,"({49: 3.161193264779646}, [49, 89, 54, 91, 90, 72, 82, 93, 84])"
2942,"({32: 0.5871967343369681}, [32, 54, 62, 27, 36, 48, 38, 95, 97])"
2943,"({50: 3.925451275586339}, [50, 72, 32, 89, 83, 76, 91, 88, 81])"
2944,"({54: 3.9560294756488226}, [54, 69, 94, 97, 38, 72, 48, 28, 29])"
2945,"({89: 0.6128415398157763}, [89, 44, 95, 86, 60, 96, 94, 97, 91])"
2946,"({73: 5.249634323142955}, [73, 72, 62, 80, 79, 50, 26, 39, 42])"
2947,"({97: 5.31751181127891}, [97, 32, 21, 62, 86, 66, 35, 93, 39])"
2948,"({78: 8.025433760731001}, [78, 77, 73, 66, 47, 6, 90, 84, 89])"
2949,"({91: 3.5772851203771427}, [91, 29, 46, 62, 89, 22, 32, 10, 72])"
2950,"({31: 5.509379954042072}, [31, 62, 68, 28, 6, 22, 38, 72, 41])"
2951,"({89: 6.070192833228919}, [89, 76, 80, 72, 87, 78, 93, 100, 96])"
2952,"({1: 4.407122424917805}, [1, 86, 8, 94, 97, 90, 88, 71, 82])"
2953,"({53: 6.947823967645495}, [53, 75, 77, 68, 61, 65, 31, 17, 39])"
2954,"({21: 5.754984861830057}, [21, 36, 50, 78, 72, 83, 89, 76, 100])"
2955,"({88: 4.591166104004268}, [88, 87, 89, 76, 72, 81, 93, 2, 45])"
2956,"({31: 3.842708485235781}, [31, 29, 100, 80, 26, 12, 98, 72, 3])"
2957,"({29: 9.613503475234968}, [29, 36, 54, 89, 27, 88, 91, 87, 72])"
2958,"({1: 5.172596223749631}, [1, 49, 88, 70, 62, 3, 91, 93, 87])"
2959,"({89: 4.464519316355916}, [89, 27, 95, 50, 96, 35, 48, 66, 93])"
2960,"({11: 5.8535816786425885}, [11, 42, 27, 6, 72, 45, 14, 12, 35])"
2961,"({100: 3.140577428554159}, [100, 12, 81, 36, 72, 83, 6, 17, 76])"
2962,"({29: 1.5088021816893824}, [29, 35, 69, 89, 76, 93, 66, 94, 97])"
2963,"({89: 3.151349152323252}, [89, 62, 76, 36, 49, 72, 91, 93, 92])"
2964,"({11: 8.46183677990325}, [11, 62, 21, 22, 50, 78, 70, 80, 85])"
2965,"({1: 2.8712095237673942}, [1, 36, 83, 56, 32, 89, 91, 97, 81])"
2966,"({89: 0.2931754483293638}, [89, 95, 97, 76, 96, 72, 88, 1, 87])"
2967,"({29: 7.309078959075517}, [29, 50, 22, 32, 53, 14, 65, 60, 41])"
2968,"({10: 4.738196535546609}, [10, 32, 65, 2, 14, 34, 100, 42, 11])"
2969,"({27: 3.814958381225131}, [27, 72, 80, 100, 34, 46, 36, 76, 12])"
2970,"({36: 6.38565562131361}, [36, 56, 38, 31, 98, 83, 73, 1, 17])"
2971,"({76: 1.6841998807058076}, [76, 72, 89, 27, 78, 32, 93, 77, 95])"
2972,"({89: 3.8273584063854833}, [89, 76, 72, 47, 93, 42, 83, 88, 81])"
2973,"({10: 3.2297855709767704}, [10, 89, 91, 1, 35, 32, 94, 28, 86])"
2974,"({29: 6.116900314168458}, [29, 1, 62, 63, 28, 26, 55, 65, 60])"
2975,"({32: 3.4674913706169823}, [32, 36, 89, 93, 1, 2, 76, 72, 97])"
2976,"({8: 6.016920714998241}, [8, 60, 11, 10, 46, 89, 37, 55, 1])"
2977,"({31: 7.9802779763416805}, [31, 36, 45, 29, 69, 100, 10, 12, 85])"
2978,"({91: 4.995332199116071}, [91, 36, 55, 87, 8, 29, 3, 76, 83])"
2979,"({56: 7.413353995910402}, [56, 29, 28, 89, 72, 98, 83, 100, 76])"
2980,"({35: 4.519775223133278}, [35, 54, 46, 98, 87, 76, 62, 81, 100])"
2981,"({22: 5.525857912496849}, [22, 10, 50, 81, 83, 2, 95, 69, 26])"
2982,"({48: 4.756182834868433}, [48, 89, 53, 1, 72, 66, 87, 93, 45])"
2983,"({65: 1.9448091348598495}, [65, 50, 53, 36, 32, 76, 72, 38, 89])"
2984,"({89: 5.0143225048700995}, [89, 82, 92, 76, 100, 79, 66, 32, 91])"
2985,"({32: 2.310932349469446}, [32, 27, 36, 61, 89, 29, 34, 72, 11])"
2986,"({26: 3.4299083112832567}, [26, 96, 12, 87, 80, 14, 99, 55, 75])"
2987,"({89: 6.039284448163639}, [89, 31, 72, 76, 80, 73, 78, 56, 87])"
2988,"({28: 8.828664055925156}, [28, 43, 39, 68, 91, 45, 93, 67, 90])"
2989,"({50: 0.7115145238948319}, [50, 76, 65, 72, 81, 88, 53, 80, 100])"
2990,"({42: 6.588656535152596}, [42, 80, 98, 26, 35, 62, 73, 78, 100])"
2991,"({73: 3.6644041266431393}, [73, 80, 75, 89, 79, 78, 62, 36, 76])"
2992,"({26: 7.40000472633229}, [26, 46, 56, 39, 100, 6, 34, 32, 11])"
2993,"({55: 3.378470188838066}, [55, 36, 38, 28, 32, 76, 19, 40, 45])"
2994,"({18: 4.723336196998311}, [18, 32, 66, 72, 89, 3, 37, 12, 6])"
2995,"({63: 5.90438061062311}, [63, 53, 23, 61, 4, 45, 91, 9, 72])"
2996,"({32: 1.8847533918577302}, [32, 50, 49, 69, 10, 36, 67, 77, 71])"
2997,"({32: 4.244670028309335}, [32, 89, 42, 11, 45, 6, 10, 93, 98])"
2998,"({89: 3.6904925404799505}, [89, 31, 49, 69, 76, 72, 12, 6, 66])"
2999,"({100: 3.0340369995594325}, [100, 26, 34, 39, 6, 85, 2, 22, 11])"
3000,"({89: 1.8929026533365958}, [89, 97, 94, 71, 91, 93, 28, 66, 72])"
3001,"({27: 5.389270405080111}, [27, 34, 41, 14, 22, 55, 46, 26, 47])"
3002,"({59: 6.706101486553271}, [59, 96, 30, 10, 72, 39, 100, 75, 21])"
3003,"({43: 4.793448752102547}, [43, 80, 100, 55, 92, 75, 95, 73, 81])"
3004,"({6: 4.646656006085787}, [6, 89, 28, 54, 80, 93, 88, 95, 87])"
3005,"({68: 6.456407157338828}, [68, 53, 89, 50, 76, 91, 96, 97, 83])"
3006,"({89: 1.3377498002438544}, [89, 75, 72, 85, 83, 100, 22, 92, 87])"
3007,"({69: 4.169762901578551}, [69, 56, 89, 87, 72, 76, 92, 88, 93])"
3008,"({69: 3.794368957872}, [69, 35, 68, 56, 38, 29, 65, 89, 10])"
3009,"({73: 2.101373528457444}, [73, 80, 100, 85, 78, 75, 79, 98, 40])"
3010,"({50: 5.1244107042266736}, [50, 29, 86, 89, 18, 91, 94, 68, 1])"
3011,"({42: 1.5432759295988168}, [42, 72, 83, 48, 31, 66, 82, 78, 22])"
3012,"({35: 3.817661389221648}, [35, 32, 72, 49, 93, 76, 19, 99, 54])"
3013,"({50: 4.538229137794586}, [50, 94, 98, 2, 72, 27, 100, 83, 96])"
3014,"({89: 2.0612160650117293}, [89, 76, 44, 91, 68, 69, 97, 86, 95])"
3015,"({83: -4.1097877254974655}, [83, 55, 89, 82, 40, 91, 98, 22, 38])"
3016,"({48: 3.8240258156315674}, [48, 89, 68, 80, 73, 78, 20, 93, 31])"
3017,"({62: 2.8149507969725773}, [62, 68, 89, 66, 29, 72, 76, 93, 92])"
3018,"({29: 1.9528801359399715}, [29, 50, 27, 36, 2, 38, 1, 69, 76])"
3019,"({55: 1.5780211559676474}, [55, 86, 88, 59, 94, 67, 8, 87, 82])"
3020,"({31: 5.433471005325452}, [31, 72, 36, 98, 80, 14, 78, 12, 25])"
3021,"({50: 6.448533871532637}, [50, 35, 98, 100, 72, 89, 76, 68, 83])"
3022,"({89: 4.159553951443568}, [89, 76, 97, 47, 96, 93, 29, 56, 84])"
3023,"({45: 7.508997393105588}, [45, 72, 93, 63, 87, 80, 88, 28, 1])"
3024,"({91: 4.63617423245071}, [91, 94, 6, 67, 54, 10, 9, 88, 70])"
3025,"({60: 3.994396984509507}, [60, 15, 1, 18, 41, 23, 94, 64, 97])"
3026,"({72: 2.576780499823883}, [72, 13, 10, 55, 83, 95, 86, 43, 78])"
3027,"({55: 5.3716693092811125}, [55, 34, 53, 38, 48, 39, 6, 28, 81])"
3028,"({89: 2.7897159424986584}, [89, 72, 14, 27, 10, 76, 21, 11, 83])"
3029,"({68: 6.1415835197398545}, [68, 82, 66, 87, 35, 100, 19, 92, 94])"
3030,"({11: 6.06722741305048}, [11, 91, 89, 3, 93, 65, 46, 9, 86])"
3031,"({35: 3.657826671545239}, [35, 89, 56, 21, 72, 81, 12, 83, 93])"
3032,"({10: 3.1550442615452527}, [10, 91, 55, 38, 22, 94, 9, 67, 92])"
3033,"({50: 5.515997789380149}, [50, 14, 34, 56, 72, 38, 51, 40, 5])"
3034,"({53: 7.304398488131976}, [53, 65, 61, 42, 100, 36, 85, 80, 89])"
3035,"({62: 2.589408019624638}, [62, 50, 89, 27, 94, 82, 72, 76, 75])"
3036,"({56: 7.520626264445884}, [56, 69, 50, 35, 22, 49, 36, 10, 57])"
3037,"({89: 4.632437114903427}, [89, 50, 36, 35, 72, 68, 53, 93, 88])"
3038,"({32: 5.043567001504562}, [32, 53, 89, 46, 27, 68, 65, 72, 48])"
3039,"({62: 2.627939185938708}, [62, 91, 89, 96, 76, 94, 53, 92, 87])"
3040,"({62: 5.168867735720178}, [62, 31, 68, 89, 2, 45, 65, 48, 12])"
3041,"({62: 4.612869161888473}, [62, 49, 27, 42, 18, 67, 4, 25, 41])"
3042,"({54: 5.417568122524125}, [54, 89, 49, 65, 76, 91, 93, 47, 72])"
3043,"({65: 5.9008714234535535}, [65, 66, 91, 46, 12, 83, 87, 2, 34])"
3044,"({60: 4.334286115932965}, [60, 62, 35, 37, 2, 19, 94, 46, 24])"
3045,"({27: 4.994419515999325}, [27, 89, 6, 93, 36, 48, 88, 96, 80])"
3046,"({95: 3.5722119059756974}, [95, 53, 72, 76, 36, 66, 29, 94, 80])"
3047,"({89: 3.6949424258425614}, [89, 62, 54, 53, 50, 96, 76, 42, 87])"
3048,"({93: 0.9998828441765298}, [93, 72, 91, 42, 83, 95, 32, 96, 92])"
3049,"({46: 5.277237839516911}, [46, 31, 42, 69, 54, 26, 35, 87, 40])"
3050,"({89: 7.6124734372614755}, [89, 93, 72, 66, 91, 87, 56, 69, 85])"
3051,"({65: 5.037445052318149}, [65, 54, 46, 22, 11, 10, 15, 83, 7])"
3052,"({50: 3.615204347345827}, [50, 29, 35, 36, 27, 48, 18, 42, 93])"
3053,"({36: 7.619343796995537}, [36, 62, 6, 66, 78, 73, 87, 55, 80])"
3054,"({49: 0.9296210511066938}, [49, 46, 21, 69, 38, 89, 10, 100, 94])"
3055,"({62: 4.997937524076882}, [62, 61, 53, 22, 25, 27, 26, 29, 40])"
3056,"({89: 5.29996258974157}, [89, 63, 47, 90, 78, 93, 6, 76, 84])"
3057,"({89: 4.838890625686081}, [89, 5, 93, 90, 82, 71, 88, 80, 78])"
3058,"({35: 5.017901645796027}, [35, 56, 70, 25, 40, 71, 63, 30, 1])"
3059,"({100: 5.14922031975808}, [100, 35, 22, 51, 80, 98, 76, 85, 11])"
3060,"({87: 0.7921373835904418}, [87, 6, 72, 11, 92, 12, 18, 88, 76])"
3061,"({6: 5.398169910287185}, [6, 89, 44, 48, 76, 10, 61, 82, 60])"
3062,"({35: 5.962034047690263}, [35, 12, 6, 72, 22, 68, 70, 92, 41])"
3063,"({72: -0.5470530795377182}, [72, 15, 54, 32, 49, 91, 97, 56, 62])"
3064,"({21: 6.480016294878525}, [21, 61, 72, 100, 65, 81, 45, 92, 5])"
3065,"({89: 2.525566249435709}, [89, 88, 91, 81, 97, 82, 86, 76, 54])"
3066,"({89: -1.764271742129521}, [89, 83, 91, 15, 95, 76, 72, 93, 5])"
3067,"({89: 3.355049751674515}, [89, 93, 88, 72, 97, 94, 91, 82, 76])"
3068,"({10: 8.163345752049809}, [10, 42, 27, 22, 40, 68, 13, 5, 78])"
3069,"({50: 5.26604377048262}, [50, 89, 14, 31, 48, 1, 95, 87, 3])"
3070,"({97: 4.6356764628271225}, [97, 93, 91, 94, 96, 86, 68, 76, 95])"
3071,"({77: 3.4156059841990407}, [77, 66, 95, 69, 22, 19, 28, 49, 46])"
3072,"({79: 6.8658254490617585}, [79, 77, 88, 43, 28, 24, 60, 83, 10])"
3073,"({8: 2.329015885523199}, [8, 18, 93, 88, 89, 94, 5, 97, 96])"
3074,"({22: 7.711438251428622}, [22, 34, 30, 10, 40, 57, 33, 41, 48])"
3075,"({26: 6.7485627779075585}, [26, 31, 72, 89, 83, 36, 100, 12, 73])"
3076,"({21: 5.732186418324002}, [21, 27, 11, 54, 56, 10, 89, 72, 30])"
3077,"({62: 3.264962804959696}, [62, 49, 66, 89, 76, 83, 28, 31, 72])"
3078,"({68: 6.297054922845179}, [68, 89, 61, 91, 94, 76, 72, 93, 86])"
3079,"({27: 7.259803528252821}, [27, 79, 26, 42, 88, 81, 83, 20, 98])"
3080,"({87: 7.16574642646787}, [87, 35, 8, 2, 22, 82, 32, 93, 72])"
3081,"({29: 5.188917962502714}, [29, 53, 100, 36, 98, 22, 54, 83, 69])"
3082,"({21: 6.267393607199021}, [21, 54, 62, 29, 36, 46, 66, 26, 10])"
3083,"({73: 2.4624316629791316}, [73, 90, 99, 95, 97, 88, 20, 100, 65])"
3084,"({32: 1.8825433518315546}, [32, 65, 28, 20, 45, 94, 61, 77, 21])"
3085,"({88: 3.4598924716230504}, [88, 72, 10, 91, 9, 87, 56, 55, 60])"
3086,"({21: 4.079194751850563}, [21, 6, 100, 72, 55, 89, 40, 39, 81])"
3087,"({62: 5.5377018221631085}, [62, 89, 35, 31, 72, 83, 76, 87, 42])"
3088,"({91: 4.54258517133036}, [91, 89, 76, 72, 73, 85, 65, 98, 27])"
3089,"({55: 1.9602801271573331}, [55, 23, 89, 76, 41, 91, 72, 28, 42])"
3090,"({50: 5.634210267814195}, [50, 53, 21, 39, 31, 7, 100, 48, 84])"
3091,"({8: 4.458607917375251}, [8, 5, 89, 81, 82, 85, 93, 72, 76])"
3092,"({89: 3.836320604105577}, [89, 91, 53, 76, 36, 32, 1, 97, 38])"
3093,"({49: 5.141459315229716}, [49, 28, 61, 77, 97, 94, 84, 50, 31])"
3094,"({32: 7.369769401897244}, [32, 31, 36, 54, 78, 73, 89, 93, 72])"
3095,"({93: 4.98031573780181}, [93, 22, 54, 42, 88, 12, 37, 98, 72])"
3096,"({96: 1.1779405200733235}, [96, 69, 27, 66, 65, 99, 95, 61, 77])"
3097,"({89: 4.093519615790046}, [89, 62, 69, 56, 93, 66, 97, 49, 15])"
3098,"({89: 3.378593528528154}, [89, 91, 72, 6, 97, 28, 11, 55, 10])"
3099,"({6: 4.446220549766909}, [6, 89, 49, 47, 76, 78, 50, 69, 93])"
3100,"({31: 5.402162778537105}, [31, 80, 55, 94, 10, 78, 11, 88, 81])"
3101,"({89: 4.506798365972961}, [89, 72, 93, 76, 87, 28, 86, 88, 100])"
3102,"({27: 2.680463261760788}, [27, 53, 66, 68, 49, 87, 6, 93, 12])"
3103,"({32: 7.261474161922303}, [32, 47, 50, 89, 28, 76, 96, 95, 72])"
3104,"({54: 7.426386193975043}, [54, 26, 50, 89, 72, 6, 39, 63, 34])"
3105,"({54: 4.306335986451622}, [54, 32, 68, 89, 91, 93, 72, 76, 92])"
3106,"({86: 3.694924916979259}, [86, 6, 88, 89, 87, 96, 97, 76, 92])"
3107,"({89: 0.04275617353780481}, [89, 76, 88, 87, 6, 78, 83, 72, 62])"
3108,"({49: 5.459480535071187}, [49, 27, 69, 92, 95, 96, 97, 45, 55])"
3109,"({89: 1.0208943424203292}, [89, 96, 95, 88, 76, 90, 99, 97, 87])"
3110,"({61: 6.5339808146239235}, [61, 32, 89, 29, 72, 83, 66, 35, 76])"
3111,"({87: 2.1235927855527015}, [87, 56, 76, 1, 89, 72, 92, 83, 96])"
3112,"({22: 6.682734147328141}, [22, 10, 25, 69, 70, 83, 81, 39, 98])"
3113,"({89: 2.462876506534949}, [89, 32, 63, 28, 35, 29, 48, 84, 93])"
3114,"({50: 3.006938575557716}, [50, 45, 68, 46, 72, 83, 97, 78, 52])"
3115,"({68: 5.301867965936193}, [68, 89, 28, 66, 97, 90, 72, 96, 84])"
3116,"({89: 2.2417890954963036}, [89, 72, 29, 50, 93, 35, 83, 76, 32])"
3117,"({32: 6.061818745003354}, [32, 68, 89, 83, 53, 54, 65, 72, 93])"
3118,"({81: 7.156020038344494}, [81, 66, 83, 53, 93, 49, 85, 91, 88])"
3119,"({62: 6.098126097079261}, [62, 97, 10, 68, 90, 49, 59, 69, 55])"
3120,"({53: 4.8162869885224655}, [53, 89, 83, 76, 80, 98, 36, 21, 42])"
3121,"({53: 5.697244226739498}, [53, 72, 80, 89, 49, 98, 62, 92, 73])"
3122,"({32: 7.052336118263085}, [32, 11, 21, 89, 69, 72, 45, 100, 22])"
3123,"({89: 3.6664962613847445}, [89, 68, 62, 49, 63, 56, 72, 91, 50])"
3124,"({89: 7.050442820103594}, [89, 36, 6, 78, 72, 73, 76, 80, 93])"
3125,"({50: 0.5236067191340716}, [50, 15, 17, 1, 5, 100, 64, 38, 11])"
3126,"({49: 7.2042354811806355}, [49, 29, 80, 86, 38, 3, 30, 9, 21])"
3127,"({10: -1.2896959700055515}, [10, 8, 3, 2, 21, 56, 1, 72, 32])"
3128,"({54: 4.552956370797293}, [54, 89, 78, 36, 76, 62, 11, 46, 94])"
3129,"({89: 5.460918837138571}, [89, 32, 71, 97, 76, 84, 93, 78, 72])"
3130,"({89: 6.454847167090918}, [89, 23, 53, 91, 72, 9, 69, 93, 26])"
3131,"({60: 3.9242445801455723}, [60, 45, 27, 36, 47, 15, 3, 31, 86])"
3132,"({89: -3.0796829504275784}, [89, 15, 76, 97, 60, 96, 95, 82, 88])"
3133,"({50: 3.94900994868031}, [50, 53, 31, 56, 46, 10, 81, 72, 76])"
3134,"({89: 1.6954384129510662}, [89, 93, 56, 72, 91, 76, 83, 97, 81])"
3135,"({35: 3.071514065248199}, [35, 31, 87, 89, 81, 66, 88, 5, 91])"
3136,"({89: 4.8333873179523215}, [89, 29, 62, 68, 72, 42, 83, 93, 48])"
3137,"({89: -3.4780237755900716}, [89, 95, 76, 87, 92, 72, 1, 99, 10])"
3138,"({89: 7.44436667695706}, [89, 28, 96, 97, 90, 86, 94, 82, 99])"
3139,"({95: 8.259920891926857}, [95, 23, 30, 40, 39, 90, 2, 83, 84])"
3140,"({91: 1.6699233138360214}, [91, 89, 88, 94, 72, 76, 97, 29, 86])"
3141,"({89: 5.130992147430113}, [89, 54, 76, 28, 27, 72, 83, 42, 93])"
3142,"({62: 8.231557171799412}, [62, 57, 45, 78, 72, 93, 92, 85, 88])"
3143,"({76: -2.7841459824169466}, [76, 89, 80, 81, 75, 72, 1, 73, 87])"
3144,"({89: 3.4224450016795225}, [89, 97, 72, 69, 76, 83, 98, 96, 95])"
3145,"({50: 4.572993171745467}, [50, 36, 27, 100, 83, 49, 89, 40, 65])"
3146,"({9: 7.165975472900068}, [9, 47, 11, 23, 72, 25, 96, 62, 88])"
3147,"({89: -0.08366735449624496}, [89, 35, 1, 93, 76, 95, 83, 60, 94])"
3148,"({38: 3.2193501125876693}, [38, 80, 32, 87, 46, 85, 71, 54, 3])"
3149,"({50: 3.968862780937815}, [50, 34, 12, 81, 54, 2, 61, 26, 100])"
3150,"({8: 2.463515296053129}, [8, 94, 86, 91, 57, 44, 18, 97, 99])"
3151,"({86: 7.370725208290635}, [86, 94, 90, 97, 84, 89, 82, 9, 93])"
3152,"({89: 4.82967141667024}, [89, 94, 88, 93, 63, 96, 86, 95, 87])"
3153,"({69: 4.405880837967315}, [69, 27, 65, 22, 49, 54, 72, 89, 87])"
3154,"({56: 6.362598911036643}, [56, 66, 93, 14, 26, 48, 92, 2, 1])"
3155,"({32: 4.690251659016952}, [32, 72, 29, 83, 36, 65, 76, 78, 39])"
3156,"({78: 3.4503350512357076}, [78, 77, 72, 28, 76, 73, 80, 79, 54])"
3157,"({10: 1.0841561507276527}, [10, 35, 81, 3, 61, 80, 76, 34, 52])"
3158,"({97: 1.9127413615262405}, [97, 91, 99, 76, 87, 84, 92, 72, 77])"
3159,"({89: 2.4024860901888947}, [89, 62, 76, 36, 68, 72, 87, 88, 94])"
3160,"({85: 4.210340870660353}, [85, 60, 97, 88, 31, 83, 22, 62, 52])"
3161,"({90: 4.4829139242847695}, [90, 84, 86, 71, 85, 82, 97, 99, 98])"
3162,"({86: 1.6137180983272787}, [86, 94, 89, 60, 97, 96, 91, 93, 68])"
3163,"({21: 6.478324329757331}, [21, 42, 54, 50, 52, 62, 14, 27, 12])"
3164,"({36: 3.959287178427022}, [36, 69, 61, 23, 2, 21, 49, 78, 45])"
3165,"({35: 6.783319494196263}, [35, 6, 42, 89, 48, 85, 27, 91, 72])"
3166,"({69: 7.265908045463271}, [69, 27, 14, 54, 35, 80, 79, 96, 32])"
3167,"({89: 0.3175525548159852}, [89, 76, 72, 36, 83, 87, 93, 91, 88])"
3168,"({53: 7.5909169606350035}, [53, 32, 27, 50, 72, 42, 89, 6, 93])"
3169,"({21: 3.9079571655875425}, [21, 72, 76, 93, 6, 48, 96, 45, 83])"
3170,"({29: 2.8801901901720974}, [29, 21, 76, 72, 14, 28, 75, 68, 60])"
3171,"({89: 3.1104029159844266}, [89, 100, 91, 93, 94, 83, 35, 97, 72])"
3172,"({87: 1.9694620198584027}, [87, 89, 88, 76, 78, 93, 45, 95, 96])"
3173,"({32: 4.89595620698448}, [32, 27, 89, 21, 69, 72, 76, 83, 8])"
3174,"({10: 2.804147033826434}, [10, 1, 31, 2, 67, 21, 8, 56, 61])"
3175,"({89: 2.5302724643991126}, [89, 91, 72, 81, 76, 88, 21, 95, 83])"
3176,"({89: 3.347939626924276}, [89, 76, 72, 91, 81, 18, 88, 93, 96])"
3177,"({89: 5.568589401732795}, [89, 29, 97, 83, 72, 91, 76, 14, 93])"
3178,"({89: 2.3015128593146725}, [89, 50, 11, 41, 76, 98, 12, 28, 65])"
3179,"({91: 4.5121265060360445}, [91, 65, 28, 72, 83, 38, 85, 89, 39])"
3180,"({56: 3.058674313382169}, [56, 89, 48, 62, 93, 53, 88, 72, 97])"
3181,"({7: 2.0398109119323844}, [7, 11, 72, 49, 60, 28, 71, 69, 12])"
3182,"({36: 4.2848794521964155}, [36, 32, 53, 89, 72, 76, 49, 42, 68])"
3183,"({88: 2.9715175805715885}, [88, 78, 1, 83, 72, 48, 87, 85, 95])"
3184,"({89: 0.9490217846700051}, [89, 93, 97, 76, 72, 53, 91, 90, 35])"
3185,"({12: 6.005107903826633}, [12, 42, 49, 46, 48, 56, 34, 39, 47])"
3186,"({35: 5.320110216728505}, [35, 53, 76, 75, 72, 27, 89, 83, 93])"
3187,"({55: 3.570581163068036}, [55, 67, 60, 81, 88, 91, 12, 94, 97])"
3188,"({89: 5.369059379952666}, [89, 78, 85, 72, 87, 76, 80, 73, 40])"
3189,"({100: 5.946768025719275}, [100, 73, 78, 72, 39, 80, 52, 81, 88])"
3190,"({94: 4.1610500658057665}, [94, 86, 95, 48, 90, 91, 96, 82, 10])"
3191,"({29: 6.059961134354213}, [29, 27, 39, 66, 69, 22, 49, 14, 56])"
3192,"({45: 3.7781231934267225}, [45, 30, 31, 3, 63, 78, 60, 100, 62])"
3193,"({89: 2.412354843700421}, [89, 86, 68, 82, 66, 16, 46, 28, 47])"
3194,"({89: 7.052642120135873}, [89, 62, 88, 78, 93, 90, 28, 82, 94])"
3195,"({29: 5.249255433114053}, [29, 49, 72, 89, 76, 36, 14, 100, 80])"
3196,"({90: 6.974099272413216}, [90, 80, 96, 78, 79, 99, 73, 97, 89])"
3197,"({1: 1.8670202181849604}, [1, 53, 2, 27, 10, 87, 72, 46, 89])"
3198,"({38: 4.794891521594144}, [38, 6, 10, 23, 67, 61, 91, 88, 87])"
3199,"({32: 4.612175196833611}, [32, 36, 81, 89, 83, 87, 68, 53, 88])"
3200,"({45: 5.824012965484039}, [45, 42, 89, 61, 10, 39, 22, 65, 82])"
3201,"({89: 2.6335593028593016}, [89, 97, 76, 93, 54, 36, 96, 91, 72])"
3202,"({89: 3.0342343337885387}, [89, 78, 77, 75, 72, 76, 80, 83, 68])"
3203,"({89: 3.512398508426449}, [89, 72, 27, 78, 76, 54, 88, 83, 87])"
3204,"({29: 3.7059776982276698}, [29, 2, 27, 69, 10, 66, 48, 34, 22])"
3205,"({89: 1.8179255878943736}, [89, 95, 32, 87, 94, 68, 93, 88, 53])"
3206,"({10: 3.1830563984301117}, [10, 54, 89, 97, 11, 94, 35, 93, 8])"
3207,"({89: 1.6202842316570139}, [89, 96, 97, 76, 72, 93, 91, 99, 53])"
3208,"({53: 5.745838194854333}, [53, 35, 29, 56, 62, 54, 14, 89, 72])"
3209,"({62: 4.707498160704443}, [62, 76, 47, 90, 6, 72, 91, 73, 75])"
3210,"({95: 0.9179710446251335}, [95, 89, 1, 94, 86, 3, 96, 93, 72])"
